@relation 'librossa_features_2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T 0.045 -N -1'

@attribute pitch_q3 numeric
@attribute pitch_median numeric
@attribute pitch_mean numeric
@attribute pitch_q1 numeric
@attribute spectral_centroid_q1 numeric
@attribute mfcc_3_mean numeric
@attribute pitch_shimmer numeric
@attribute mfcc_3_q1 numeric
@attribute spectral_flatness_q1 numeric
@attribute pitch_jitter numeric
@attribute pitch_range numeric
@attribute mfcc_1_delta_min numeric
@attribute pitch_iqr numeric
@attribute mfcc_3_q3 numeric
@attribute mfcc_2_mean numeric
@attribute spectral_flatness_median numeric
@attribute spectral_rolloff_q1 numeric
@attribute mfcc_2_q3 numeric
@attribute mfcc_3_median numeric
@attribute pitch_max numeric
@attribute spectral_centroid_mean numeric
@attribute mfcc_3_min numeric
@attribute mfcc_5_min numeric
@attribute spectral_centroid_median numeric
@attribute energy_q1 numeric
@attribute mfcc_4_min numeric
@attribute mfcc_2_iqr numeric
@attribute zcr_q1 numeric
@attribute pitch_std_dev numeric
@attribute mfcc_4_mean numeric
@attribute mfcc_2_max numeric
@attribute mfcc_4_q1 numeric
@attribute zcr_std_dev numeric
@attribute mfcc_2_median numeric
@attribute mfcc_1_delta_skewness numeric
@attribute spectral_centroid_min numeric
@attribute spectral_contrast_1_mean numeric
@attribute mfcc_2_q1 numeric
@attribute spectral_bandwidth_median numeric
@attribute mfcc_6_std_dev numeric
@attribute mfcc_3_max numeric
@attribute energy_min numeric
@attribute zcr_q3 numeric
@attribute mfcc_13_std_dev numeric
@attribute mfcc_3_jitter numeric
@attribute mfcc_2_jitter numeric
@attribute mfcc_6_delta_std_dev numeric
@attribute zcr_iqr numeric
@attribute mfcc_1_jitter numeric
@attribute zcr_range numeric
@attribute mfcc_2_delta_jitter numeric
@attribute mfcc_2_std_dev numeric
@attribute mfcc_2_delta2_std_dev numeric
@attribute mfcc_6_delta_shimmer numeric
@attribute mfcc_13_range numeric
@attribute mfcc_6_min numeric
@attribute spectral_bandwidth_q1 numeric
@attribute mfcc_6_delta2_shimmer numeric
@attribute mfcc_1_delta2_shimmer numeric
@attribute mfcc_2_delta2_max numeric
@attribute mfcc_4_q3 numeric
@attribute emotion {negative,positive,neutral}

@data
-0.826928,-0.830791,-0.858359,-0.7764,-2.040034,1.707989,-0.58096,1.699776,-1.010259,-0.611849,-0.943361,0.720257,-0.625285,2.018277,1.862921,-0.787724,-2.016397,1.939316,2.068416,-1.058312,-1.957461,0.135104,1.293328,-1.913583,1.359985,0.957229,1.60783,-1.543921,-0.947496,1.650049,2.40206,1.668382,-1.569587,1.58432,0.018614,-1.25132,2.028953,1.544303,-2.274085,3.930968,0.213949,2.314717,-1.35094,0.656953,0.118702,1.458944,3.766132,-1.158205,0.707809,-1.95578,2.363838,2.227185,1.993092,3.379976,1.163973,-2.132735,-2.331007,1.707565,-0.07542,1.799177,2.10578,negative
-0.62057,-0.636783,-0.760192,-0.801741,-2.112524,1.588593,-0.703179,0.941984,-1.009933,-0.81481,-0.982745,0.757406,0.005738,1.589853,1.138408,-0.787766,-2.107723,1.422272,2.012621,-1.122619,-1.940084,1.074867,0.865027,-1.884632,1.408979,-0.088809,1.038752,-1.543921,-0.690501,0.980587,1.776361,1.654256,-1.571913,0.693484,-0.66143,-1.100748,2.103529,1.2645,-2.322207,1.640259,1.091253,2.381982,-1.337569,-1.455109,0.25056,0.590894,1.170745,-1.142748,-0.38235,-1.994729,1.366455,2.523691,0.92566,1.083655,-1.043168,-0.62734,-2.258924,1.886916,0.091398,0.323008,1.185491,negative
-0.655364,-0.650473,-0.759976,-0.72411,-2.090335,0.96349,-0.72943,0.898528,-1.009868,-0.878216,-0.967786,-0.383366,-0.259699,1.538246,2.269799,-0.787733,-2.027141,2.036286,1.164209,-1.124048,-2.400339,-0.376725,0.686776,-1.948874,0.947855,-0.228057,1.66138,-1.543921,-0.826746,1.079258,2.041303,0.792732,-1.537826,2.037866,-1.170919,-1.134271,1.902974,1.646744,-2.322157,2.120208,0.42213,1.766141,-1.320379,-0.281779,0.588346,0.656321,1.975992,-1.122875,0.604738,-1.905146,1.164714,0.838349,0.767762,2.008012,0.63963,-1.805276,-2.107846,2.242751,0.836446,0.472191,1.010114,negative
-0.548767,-0.571639,-0.656993,-0.629024,-1.867992,0.975848,-0.703921,-0.059365,-1.009058,-0.807856,-0.883552,1.037532,-0.168262,1.587219,1.692139,-0.787712,-1.806885,1.80506,1.451796,-0.983849,-1.889506,-0.272316,1.738981,-1.773079,0.95401,0.523139,1.841654,-1.543921,-0.777774,1.309953,1.444323,1.462597,-1.529043,1.532652,-0.779538,-1.083425,2.00531,1.113121,-2.226183,2.189248,1.634657,1.729952,-1.291728,-0.360178,1.4348,1.120768,1.432051,-1.089752,0.288911,-1.907093,1.445046,1.648269,1.712122,1.154841,-0.019658,-1.921785,-1.903844,1.601848,0.400922,2.497087,1.395025,negative
-0.530599,-0.482697,-0.588442,-0.522074,-1.829649,0.835799,-0.66635,0.568546,-1.009989,-0.843174,-0.892261,-0.083772,-0.34941,1.33925,1.991094,-0.787724,-1.731676,1.972883,0.792289,-0.987701,-2.134657,0.366877,1.41323,-1.831215,1.047624,-0.011634,1.989491,-1.543921,-0.816939,0.992673,1.988682,0.696482,-1.525507,2.073398,-0.97922,-1.112034,2.092803,1.238587,-2.320005,2.470624,1.255679,1.912559,-1.289818,0.043166,0.505298,0.373616,2.153863,-1.087544,0.0163,-1.891513,0.92778,1.713784,0.525794,1.707638,0.39212,-1.542274,-2.092496,1.881844,-0.366688,0.553576,0.762066,negative
-0.692413,-0.695874,-0.728646,-0.694547,-2.021135,1.328386,0.655533,0.635982,-1.009748,-0.176241,0.756122,0.958822,-0.42722,1.843736,2.028233,-0.787429,-2.107723,1.635227,1.64492,0.586769,-2.227786,0.064995,0.865349,-1.810549,1.08129,0.551535,0.615685,-1.543921,-0.142663,1.628843,1.650721,1.637004,-1.553851,1.757301,-0.730449,-1.068836,1.884335,1.997461,-2.231982,2.479782,0.857662,1.949298,-1.319106,-0.422852,0.830579,0.713099,2.002489,-1.121402,0.368056,-1.910988,0.427923,0.143432,0.365952,1.692777,-0.128638,-1.717206,-1.926652,2.925408,0.170942,0.082674,1.934646,negative
-0.635229,-0.59905,-0.582142,-0.616893,-2.096679,1.113083,1.105406,0.822608,-1.009874,0.418574,1.414605,1.735155,-0.435934,1.418681,1.645743,-0.787625,-2.107723,2.007607,1.20454,1.286353,-1.933144,0.175216,0.871128,-1.768806,0.62192,-0.682442,2.081329,-1.543921,0.457443,0.604418,1.761641,1.313808,-1.543507,1.160402,-0.290312,-1.066349,1.918976,1.206998,-2.329081,2.64028,0.74168,1.33463,-1.329929,-0.597229,-0.244925,1.276067,2.626074,-1.133915,-0.116123,-1.930463,1.27359,2.556196,0.931995,3.187225,-0.491483,-2.134257,-2.194226,2.954451,-1.198613,1.282955,0.689183,negative
-0.730459,-0.681499,-0.592295,-0.625839,-1.776349,1.136044,0.871137,0.532278,-1.009866,-0.104633,1.297276,-0.172478,-0.682389,1.589633,2.114583,-0.78774,-1.663629,2.059434,0.920462,1.116643,-2.022443,0.322701,0.953759,-1.817106,1.136666,0.156759,1.934417,-1.49887,0.704631,0.780638,1.679979,0.084355,-1.496997,2.266474,-0.989418,-1.10954,2.007344,1.426675,-2.331883,2.277579,1.433035,1.969788,-1.307009,-0.018596,0.798615,1.099094,2.739015,-1.119194,0.295568,-1.651976,1.692278,1.764419,1.570832,3.044379,0.399383,-2.116113,-2.245118,2.579886,-0.427697,2.118116,0.886706,negative
-0.601457,-0.51536,-0.622073,-0.469746,-1.68153,0.765356,-0.545195,0.271641,-1.009377,-0.657367,-0.815178,1.234338,-0.660668,1.334997,1.990612,-0.787317,-1.713769,1.984862,0.609698,-1.113358,-1.98951,0.628388,-0.245442,-1.702343,1.074649,-0.489906,1.757378,-1.543921,-1.028018,0.642487,1.389953,0.484752,-1.548294,2.055945,-0.356817,-0.973661,2.045872,1.475542,-2.242723,1.774995,1.225202,1.920121,-1.301915,-0.607371,0.794734,1.225206,2.057061,-1.101529,0.042012,-1.936305,1.624928,1.406439,1.460971,2.262685,-0.116936,-1.901932,-1.882989,2.581802,-0.778354,1.257395,0.976022,negative
-0.780219,-0.681604,-0.709787,-0.65274,-1.590944,1.533131,-0.139323,1.120713,-1.008812,-0.691795,0.849041,0.017047,-0.762984,2.312077,1.888676,-0.787501,-1.634978,1.773674,1.42846,0.720587,-1.926205,0.164938,0.99642,-1.777553,1.851091,-1.538594,1.016127,-1.282063,-0.132529,1.384058,1.823634,0.983452,-1.546536,1.845535,-1.148211,-1.0898,1.800203,1.839313,-2.164183,2.431864,1.149891,2.229569,-1.289182,-0.468162,1.048141,1.234178,3.191377,-1.155261,0.269365,-1.842827,1.624683,1.200144,1.410918,2.921521,0.025786,-2.032944,-2.110138,2.64809,-0.32712,1.606478,1.510674,negative
